#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0043231	Intracellular membrane-bounded organelle	117	10761	0.1	0.0078	9606.ENSP00000013807,9606.ENSP00000215832,9606.ENSP00000216181,9606.ENSP00000216862,9606.ENSP00000221930,9606.ENSP00000222139,9606.ENSP00000222305,9606.ENSP00000222572,9606.ENSP00000225275,9606.ENSP00000226279,9606.ENSP00000226760,9606.ENSP00000227868,9606.ENSP00000232219,9606.ENSP00000245479,9606.ENSP00000248553,9606.ENSP00000255409,9606.ENSP00000256104,9606.ENSP00000257430,9606.ENSP00000258341,9606.ENSP00000259407,9606.ENSP00000260356,9606.ENSP00000261037,9606.ENSP00000261769,9606.ENSP00000263317,9606.ENSP00000263774,9606.ENSP00000264717,9606.ENSP00000265132,9606.ENSP00000265333,9606.ENSP00000266085,9606.ENSP00000267484,9606.ENSP00000268035,9606.ENSP00000272645,9606.ENSP00000278616,9606.ENSP00000283928,9606.ENSP00000285407,9606.ENSP00000288266,9606.ENSP00000293599,9606.ENSP00000298352,9606.ENSP00000300055,9606.ENSP00000302630,9606.ENSP00000304767,9606.ENSP00000306124,9606.ENSP00000308208,9606.ENSP00000310036,9606.ENSP00000310520,9606.ENSP00000311005,9606.ENSP00000312987,9606.ENSP00000314897,9606.ENSP00000317674,9606.ENSP00000322898,9606.ENSP00000325548,9606.ENSP00000330382,9606.ENSP00000331831,9606.ENSP00000336762,9606.ENSP00000337332,9606.ENSP00000339191,9606.ENSP00000339916,9606.ENSP00000341208,9606.ENSP00000345708,9606.ENSP00000346148,9606.ENSP00000346508,9606.ENSP00000347041,9606.ENSP00000348069,9606.ENSP00000351908,9606.ENSP00000352264,9606.ENSP00000354511,9606.ENSP00000354995,9606.ENSP00000356438,9606.ENSP00000356515,9606.ENSP00000356729,9606.ENSP00000356832,9606.ENSP00000357726,9606.ENSP00000358513,9606.ENSP00000360247,9606.ENSP00000360997,9606.ENSP00000361021,9606.ENSP00000361883,9606.ENSP00000362410,9606.ENSP00000362463,9606.ENSP00000363596,9606.ENSP00000363641,9606.ENSP00000363822,9606.ENSP00000363827,9606.ENSP00000365256,9606.ENSP00000366395,9606.ENSP00000368104,9606.ENSP00000368683,9606.ENSP00000371067,9606.ENSP00000375844,9606.ENSP00000376865,9606.ENSP00000377192,9606.ENSP00000378046,9606.ENSP00000379256,9606.ENSP00000380252,9606.ENSP00000380365,9606.ENSP00000381185,9606.ENSP00000383364,9606.ENSP00000384262,9606.ENSP00000384364,9606.ENSP00000385834,9606.ENSP00000390651,9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000401720,9606.ENSP00000414303,9606.ENSP00000418525,9606.ENSP00000418823,9606.ENSP00000426809,9606.ENSP00000427424,9606.ENSP00000444198,9606.ENSP00000445772,9606.ENSP00000477707,9606.ENSP00000478253,9606.ENSP00000479617,9606.ENSP00000480291,9606.ENSP00000483018	ERCC1,MAPK1,MYH9,CYP24A1,TGFB1,EPOR,USF2,PON2,MPO,CD38,WFS1,PDHX,RBP1,SOX9,HSPB1,CHI3L1,FABP4,APC,LAMC1,BAAT,THBS1,COL8A1,CDH1,NOX4,NDUFS3,GCKR,AMBP,VDAC1,TIMP3,RTN1,IGF1R,POLR2D,ATM,JAZF1,KLF10,APPL1,AQP5,NGB,PLIN1,ONECUT1,P2RY1,PRKCE,MMP14,CD34,ERCC4,MAPK7,HNF4A,ANGPT2,APOL1,EBF1,CNDP2,PDGFB,GAS6,ANG,SIRT6,CAV1,LIMK2,STAT5A,KCNJ11,PRKAA1,PDGFA,FMOD,SREBF1,MAP3K5,CD2AP,COMT,ABCG1,PTGS2,UTRN,FMO3,SGK1,S100A12,CNR1,CYP2J2,ADAMTS13,PTEN,CAP1,MAFB,GLO1,CNR2,TXN,AR,HSPG2,CLCN5,SYVN1,BMP2,EDN1,JAK2,CAPN10,PDGFD,G6PD,FKBP2,NCALD,NFE2L2,RGN,BCL2,PLA2G2A,HPSE,NPY,TF,IRAK4,FGFR1,RHOA,MYD88,GK,BDNF,MME,FTO,PROM1,TNFAIP8,CITED2,LTB4R2,NR1H3,MTHFD1L,UHRF1,HNF1B,ABO
GO:0098552	Side of membrane	14	531	0.48	0.0120	9606.ENSP00000228434,9606.ENSP00000260356,9606.ENSP00000261769,9606.ENSP00000292303,9606.ENSP00000305651,9606.ENSP00000310036,9606.ENSP00000351908,9606.ENSP00000354901,9606.ENSP00000354995,9606.ENSP00000361021,9606.ENSP00000363596,9606.ENSP00000377192,9606.ENSP00000385834,9606.ENSP00000400175	CD69,THBS1,CDH1,CCR5,CXCL10,CD34,MAP3K5,CXCL9,ABCG1,PTEN,CNR2,G6PD,TF,RHOA
GO:0016324	Apical plasma membrane	11	350	0.56	0.0130	9606.ENSP00000263317,9606.ENSP00000293599,9606.ENSP00000304767,9606.ENSP00000310036,9606.ENSP00000339191,9606.ENSP00000346148,9606.ENSP00000361021,9606.ENSP00000369442,9606.ENSP00000385834,9606.ENSP00000402152,9606.ENSP00000426809	NOX4,AQP5,P2RY1,CD34,CAV1,PRKAA1,PTEN,KL,TF,SLC12A3,PROM1
GO:0045177	Apical part of cell	12	420	0.52	0.0157	9606.ENSP00000263317,9606.ENSP00000293599,9606.ENSP00000304767,9606.ENSP00000310036,9606.ENSP00000339191,9606.ENSP00000346148,9606.ENSP00000361021,9606.ENSP00000365256,9606.ENSP00000369442,9606.ENSP00000385834,9606.ENSP00000402152,9606.ENSP00000426809	NOX4,AQP5,P2RY1,CD34,CAV1,PRKAA1,PTEN,CLCN5,KL,TF,SLC12A3,PROM1
GO:0016020	Membrane	101	9072	0.11	0.0184	9606.ENSP00000215832,9606.ENSP00000216181,9606.ENSP00000216862,9606.ENSP00000221930,9606.ENSP00000222139,9606.ENSP00000222572,9606.ENSP00000226279,9606.ENSP00000226760,9606.ENSP00000228434,9606.ENSP00000246553,9606.ENSP00000248553,9606.ENSP00000257430,9606.ENSP00000259486,9606.ENSP00000260356,9606.ENSP00000261769,9606.ENSP00000263317,9606.ENSP00000263774,9606.ENSP00000265132,9606.ENSP00000265333,9606.ENSP00000267484,9606.ENSP00000268035,9606.ENSP00000278840,9606.ENSP00000281382,9606.ENSP00000288266,9606.ENSP00000292303,9606.ENSP00000293599,9606.ENSP00000304767,9606.ENSP00000305651,9606.ENSP00000306124,9606.ENSP00000308208,9606.ENSP00000309757,9606.ENSP00000310036,9606.ENSP00000314897,9606.ENSP00000315011,9606.ENSP00000317674,9606.ENSP00000330382,9606.ENSP00000334329,9606.ENSP00000339191,9606.ENSP00000345708,9606.ENSP00000346148,9606.ENSP00000346508,9606.ENSP00000348069,9606.ENSP00000351908,9606.ENSP00000352264,9606.ENSP00000354511,9606.ENSP00000354782,9606.ENSP00000354901,9606.ENSP00000354995,9606.ENSP00000355361,9606.ENSP00000356438,9606.ENSP00000356515,9606.ENSP00000356729,9606.ENSP00000356832,9606.ENSP00000357726,9606.ENSP00000358513,9606.ENSP00000360247,9606.ENSP00000360250,9606.ENSP00000361021,9606.ENSP00000361883,9606.ENSP00000362057,9606.ENSP00000362463,9606.ENSP00000363596,9606.ENSP00000363822,9606.ENSP00000363827,9606.ENSP00000363973,9606.ENSP00000364683,9606.ENSP00000365256,9606.ENSP00000366395,9606.ENSP00000368104,9606.ENSP00000369442,9606.ENSP00000371067,9606.ENSP00000375844,9606.ENSP00000376865,9606.ENSP00000377192,9606.ENSP00000377372,9606.ENSP00000378046,9606.ENSP00000379256,9606.ENSP00000380252,9606.ENSP00000381185,9606.ENSP00000383232,9606.ENSP00000383364,9606.ENSP00000384262,9606.ENSP00000384957,9606.ENSP00000385834,9606.ENSP00000390651,9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000401399,9606.ENSP00000401720,9606.ENSP00000402152,9606.ENSP00000403495,9606.ENSP00000418525,9606.ENSP00000419313,9606.ENSP00000419422,9606.ENSP00000426809,9606.ENSP00000445772,9606.ENSP00000475344,9606.ENSP00000478253,9606.ENSP00000478570,9606.ENSP00000483018,9606.ENSP00000484631	MAPK1,MYH9,CYP24A1,TGFB1,EPOR,PON2,CD38,WFS1,CD69,FFAR1,HSPB1,APC,ENPP2,THBS1,CDH1,NOX4,NDUFS3,AMBP,VDAC1,RTN1,IGF1R,FADS2,PIGF,APPL1,CCR5,AQP5,P2RY1,CXCL10,PRKCE,MMP14,LPL,CD34,ANGPT2,EDNRA,APOL1,PDGFB,UNC5B,CAV1,KCNJ11,PRKAA1,PDGFA,SREBF1,MAP3K5,CD2AP,COMT,CD247,CXCL9,ABCG1,CD47,PTGS2,UTRN,FMO3,SGK1,S100A12,CNR1,CYP2J2,ENTPD1,PTEN,CAP1,NOX1,GLO1,CNR2,AR,HSPG2,ALPL,BAMBI,CLCN5,SYVN1,BMP2,KL,JAK2,CAPN10,PDGFD,G6PD,GAP43,FKBP2,NCALD,NFE2L2,BCL2,GGT1,PLA2G2A,HPSE,F11,TF,IRAK4,FGFR1,RHOA,MYD88,GK,SLC12A3,LTA,MME,TRPC1,AGTR1,PROM1,LTB4R2,APLNR,MTHFD1L,VEGFA,ABO,PMP22
GO:0030424	Axon	15	646	0.43	0.0243	9606.ENSP00000215832,9606.ENSP00000248553,9606.ENSP00000268035,9606.ENSP00000336762,9606.ENSP00000345708,9606.ENSP00000346148,9606.ENSP00000354511,9606.ENSP00000355370,9606.ENSP00000356515,9606.ENSP00000358513,9606.ENSP00000377372,9606.ENSP00000397297,9606.ENSP00000400175,9606.ENSP00000414303,9606.ENSP00000418525	MAPK1,HSPB1,IGF1R,ANG,KCNJ11,PRKAA1,COMT,CNTF,UTRN,CNR1,GAP43,NTF3,RHOA,BDNF,MME
GO:0045121	Membrane raft	10	324	0.55	0.0253	9606.ENSP00000215832,9606.ENSP00000261769,9606.ENSP00000265333,9606.ENSP00000334329,9606.ENSP00000339191,9606.ENSP00000356438,9606.ENSP00000358513,9606.ENSP00000371067,9606.ENSP00000384262,9606.ENSP00000418525	MAPK1,CDH1,VDAC1,UNC5B,CAV1,PTGS2,CNR1,JAK2,HPSE,MME
GO:0000110	Nucleotide-excision repair factor 1 complex	2	3	1.88	0.0268	9606.ENSP00000013807,9606.ENSP00000310520	ERCC1,ERCC4
GO:0005901	Caveola	5	78	0.87	0.0268	9606.ENSP00000215832,9606.ENSP00000261769,9606.ENSP00000339191,9606.ENSP00000356438,9606.ENSP00000371067	MAPK1,CDH1,CAV1,PTGS2,JAK2
GO:0070522	ERCC4-ERCC1 complex	2	3	1.88	0.0268	9606.ENSP00000013807,9606.ENSP00000310520	ERCC1,ERCC4
GO:0043209	Myelin sheath	4	46	1.0	0.0311	9606.ENSP00000345708,9606.ENSP00000361021,9606.ENSP00000381185,9606.ENSP00000484631	KCNJ11,PTEN,BCL2,PMP22
GO:0070161	Anchoring junction	17	820	0.38	0.0311	9606.ENSP00000215832,9606.ENSP00000216181,9606.ENSP00000248553,9606.ENSP00000257430,9606.ENSP00000261769,9606.ENSP00000263317,9606.ENSP00000308208,9606.ENSP00000339191,9606.ENSP00000345708,9606.ENSP00000352264,9606.ENSP00000361883,9606.ENSP00000363827,9606.ENSP00000371067,9606.ENSP00000400175,9606.ENSP00000418525,9606.ENSP00000478570,9606.ENSP00000484631	MAPK1,MYH9,HSPB1,APC,CDH1,NOX4,MMP14,CAV1,KCNJ11,CD2AP,CAP1,HSPG2,JAK2,RHOA,MME,VEGFA,PMP22
GO:0005925	Focal adhesion	11	405	0.49	0.0323	9606.ENSP00000215832,9606.ENSP00000216181,9606.ENSP00000248553,9606.ENSP00000263317,9606.ENSP00000308208,9606.ENSP00000339191,9606.ENSP00000361883,9606.ENSP00000363827,9606.ENSP00000371067,9606.ENSP00000400175,9606.ENSP00000418525	MAPK1,MYH9,HSPB1,NOX4,MMP14,CAV1,CAP1,HSPG2,JAK2,RHOA,MME
GO:0046930	Pore complex	3	23	1.18	0.0444	9606.ENSP00000265333,9606.ENSP00000310036,9606.ENSP00000381185	VDAC1,CD34,BCL2
